ipa,pos,translation,grammar,derivation,notes
klit,n,"branche, ramification, embranchement",nom,racine,expansion T2 ; grappe : les plantes et arbres
klitar,n,celui qui taille les branches,nom,klit + -ar (agentif),expansion T2 (agentif)
klitil,n,la serpette à élaguer,nom,klit + -il (instrumental),expansion T2 (instrumental)
klitas,n,"le réseau de branches, la ramure",nom,klit + -as (abstrait),expansion T2 (abstrait)
prim,v.stat,"être vert, être frais, être vivant",verbe statif,racine,expansion T2 ; grappe : les plantes et arbres
primas,n,"la fraîcheur, la vie végétale",nom,prim + -as (abstrait),expansion T2 (abstrait)
kʼaprim,v.stat,"être sec, flétri, mort",verbe statif,prim + kʼa- (privatif),expansion T2 (privatif)
lit,n,"écorce, peau protectrice, enveloppe",nom,racine,expansion T2 ; grappe : les plantes et arbres
litar,n,"celui qui pèle, qui écorce",nom,lit + -ar (agentif),expansion T2 (agentif)
litut,n,"l'écorce levée, la bande de liber",nom,lit + -ut (résultatif),expansion T2 (résultatif)
kʼalit,v.stat,"sans écorce, dénudé",verbe statif,lit + kʼa- (privatif),expansion T2 (privatif)
urik,v.stat,"fleurir, s'épanouir, être en fleur",verbe statif,racine,expansion T2 ; grappe : les plantes et arbres
urikar,n,"la fleur épanouie, la plante en fleur",nom,urik + -ar (agentif),expansion T2 (agentif)
urikas,n,"la floraison, l'épanouissement",nom,urik + -as (abstrait),expansion T2 (abstrait)
kal,n,"pierre, roche, minéral",nom,racine,expansion T2 ; grappe : la nature et le paysage
kalar,n,celui qui taille la pierre,nom,kal + -ar (agentif),expansion T2 (agentif)
kalut,n,"caillou, fragment de pierre",nom,kal + -ut (résultatif),expansion T2 (résultatif)
kalil,n,"outil de pierre, marteau",nom,kal + -il (instrumental),expansion T2 (instrumental)
sun,n,"soleil, lumière, chaleur",nom,racine,expansion T2 ; grappe : la nature et le paysage
sunas,n,"luminosité, éclat",nom,sun + -as (abstrait),expansion T2 (abstrait)
kʼasun,v.stat,"obscurité, absence de lumière",verbe statif,sun + kʼa- (privatif),expansion T2 (privatif)
turp,n,"eau, fleuve, lac, humidité",nom,racine,expansion T2 ; grappe : la nature et le paysage
turpar,n,"celui qui navigue, batelier",nom,turp + -ar (agentif),expansion T2 (agentif)
turput,n,"goutte d'eau, source",nom,turp + -ut (résultatif),expansion T2 (résultatif)
turpil,n,récipient pour l'eau,nom,turp + -il (instrumental),expansion T2 (instrumental)
hak,n,"montagne, pic, hauteur escarpée",nom,racine,expansion T2 ; grappe : la nature et le paysage
hakar,n,"montagnard, alpiniste",nom,hak + -ar (agentif),expansion T2 (agentif)
hakas,n,"altitude, terrain montagneux",nom,hak + -as (abstrait),expansion T2 (abstrait)
tal,n,"vallée, dépression, terrain bas",nom,racine,expansion T2 ; grappe : la nature et le paysage
talar,n,habitant de vallée,nom,tal + -ar (agentif),expansion T2 (agentif)
talas,n,topographie basse,nom,tal + -as (abstrait),expansion T2 (abstrait)
rix,n,"arbre, bois, forêt, végétation ligneuse",nom,racine,expansion T2 ; grappe : la nature et le paysage
rixar,n,"bûcheron, forestier",nom,rix + -ar (agentif),expansion T2 (agentif)
rixut,n,"branche, morceau de bois",nom,rix + -ut (résultatif),expansion T2 (résultatif)
rixil,n,"hache, outil de bois",nom,rix + -il (instrumental),expansion T2 (instrumental)
mun,n,"terre, sol, terreau, substance du sol",nom,racine,expansion T2 ; grappe : la nature et le paysage
munar,n,"fermier, laboureur",nom,mun + -ar (agentif),expansion T2 (agentif)
munut,n,"grain de terre, poussière",nom,mun + -ut (résultatif),expansion T2 (résultatif)
munas,n,"fertilité, domaine terrestre",nom,mun + -as (abstrait),expansion T2 (abstrait)
pals,n,"pluie, nuage, précipitation",nom,racine,expansion T2 ; grappe : la nature et le paysage
palsar,n,celui qui observé la météo,nom,pals + -ar (agentif),expansion T2 (agentif)
palsus,v.stat,"avoir soif, besoin d'eau",verbe statif,pals + -us (désidératif),expansion T2 (désidératif)
kʼapals,v.stat,"sécheresse, absence de pluie",verbe statif,pals + kʼa- (privatif),expansion T2 (privatif)
kir,v.stat,"brûler, flamber, incendier",verbe statif,racine,expansion T2 ; grappe : la nature et le paysage
kirar,n,celui qui allume le feu,nom,kir + -ar (agentif),expansion T2 (agentif)
kirut,n,"flamme, cendre",nom,kir + -ut (résultatif),expansion T2 (résultatif)
kiras,n,"chaleur, incendie",nom,kir + -as (abstrait),expansion T2 (abstrait)
has,n,"herbe, gazon, prairie, végétal bas",nom,racine,expansion T2 ; grappe : la nature et le paysage
hasar,n,"celui qui fauche, faucheur",nom,has + -ar (agentif),expansion T2 (agentif)
hasut,n,"brin d'herbe, touffe",nom,has + -ut (résultatif),expansion T2 (résultatif)
hasil,n,"faux, outil de fauchage",nom,has + -il (instrumental),expansion T2 (instrumental)
lun,n,"lune, astre nocturne, clarté lunaire",nom,racine,expansion T2 ; grappe : la nature et le paysage
lunar,n,celui qui observe la lune,nom,lun + -ar (agentif),expansion T2 (agentif)
lunas,n,luminescence nocturne,nom,lun + -as (abstrait),expansion T2 (abstrait)
skul,n,"fleur, bourgeon, épanouissement floral",nom,racine,expansion T2 ; grappe : la nature et le paysage
skular,n,"celui qui cueille les fleurs, fleuriste",nom,skul + -ar (agentif),expansion T2 (agentif)
skulut,n,"pétale, graine florale",nom,skul + -ut (résultatif),expansion T2 (résultatif)
skulas,n,"floraison, beauté florale",nom,skul + -as (abstrait),expansion T2 (abstrait)
prum,v.stat,"geler, figer, être froid, cristalliser",verbe statif,racine,expansion T2 ; grappe : la nature et le paysage
prumut,n,"glaçon, givre, cristal de glace",nom,prum + -ut (résultatif),expansion T2 (résultatif)
prumas,n,"froideur, hiver",nom,prum + -as (abstrait),expansion T2 (abstrait)
prumus,v.stat,"avoir froid, frissoner",verbe statif,prum + -us (désidératif),expansion T2 (désidératif)
stak,n,"eau, liquide, flux hydrique",nom,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
stakar,n,celui qui puise/transporte l'eau,nom,stak + -ar (agentif),expansion T2 (agentif)
stakut,n,"la masse d'eau, le volume liquide",nom,stak + -ut (résultatif),expansion T2 (résultatif)
stakil,n,"récipient à eau, puisoir",nom,stak + -il (instrumental),expansion T2 (instrumental)
naks,n,"goutte, petite portion d'eau",nom,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
naksut,n,la goutte formée,nom,naks + -ut (résultatif),expansion T2 (résultatif)
naksas,n,"la gouttelette, le phénomène de goutte à goutte",nom,naks + -as (abstrait),expansion T2 (abstrait)
kirt,n,"cendre, résidu du feu",nom,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
kirtut,n,la masse cendreuse,nom,kirt + -ut (résultatif),expansion T2 (résultatif)
kirtas,n,la poussière de cendre,nom,kirt + -as (abstrait),expansion T2 (abstrait)
aril,n,"air, vent, respiration",nom,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
arilar,n,celui qui respire/celui de l'air,nom,aril + -ar (agentif),expansion T2 (agentif)
arilus,v.stat,"avoir besoin d'air, étouffer",verbe statif,aril + -us (désidératif),expansion T2 (désidératif)
arilas,n,"la ventilation, le mouvement de l'air",nom,aril + -as (abstrait),expansion T2 (abstrait)
lust,v,"souffler, venter, agiter l'air",radical verbal,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
lustut,n,"la rafale, le coup de vent",nom,lust + -ut (résultatif),expansion T2 (résultatif)
lustil,n,"le ventail, le soufflet",nom,lust + -il (instrumental),expansion T2 (instrumental)
mixt,n,"brume, brouillard, vapeur",nom,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
mixtut,n,la masse de brume,nom,mixt + -ut (résultatif),expansion T2 (résultatif)
mixtas,n,le phénomène de brumisation,nom,mixt + -as (abstrait),expansion T2 (abstrait)
kalt,v,"creuser, fouir, excaver",radical verbal,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
kaltut,n,"le trou creusé, l'excavation",nom,kalt + -ut (résultatif),expansion T2 (résultatif)
kaltas,n,l'action de creuser,nom,kalt + -as (abstrait),expansion T2 (abstrait)
puls,n,"pierre, roche, minéral",nom,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
pulsar,n,celui qui taille la pierre,nom,puls + -ar (agentif),expansion T2 (agentif)
pulsut,n,le bloc de pierre,nom,puls + -ut (résultatif),expansion T2 (résultatif)
pulsas,n,"la rocaille, l'ensemble pierreux",nom,puls + -as (abstrait),expansion T2 (abstrait)
tran,v,"humidifier, tremper, imbiber",radical verbal,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
tranut,n,la substance imbibée,nom,tran + -ut (résultatif),expansion T2 (résultatif)
harp,v.stat,"être chaud, chaleureux, ardent",verbe statif,racine,"expansion T2 ; grappe : l'eau, le feu, l'air, la terre"
harpas,n,"la chaleur, la température",nom,harp + -as (abstrait),expansion T2 (abstrait)
talp,n,"durée, intervalle de temps",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
talpus,v.stat,"désirer attendre, vouloir que le temps passe",verbe statif,talp + -us (désidératif),expansion T2 (désidératif)
talpas,n,"la durée, le laps de temps",nom,talp + -as (abstrait),expansion T2 (abstrait)
xirn,n,"cyclicité, retour périodique",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
xirnas,n,"l'ordre cyclique, la périodicité",nom,xirn + -as (abstrait),expansion T2 (abstrait)
xirnar,n,"celui qui revient, ce qui est cyclique",nom,xirn + -ar (agentif),expansion T2 (agentif)
kilt,n,"fin, coucher, déclin",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
kiltar,n,"celui qui termine, finisseur",nom,kilt + -ar (agentif),expansion T2 (agentif)
kiltas,n,"la fin, l'achèvement",nom,kilt + -as (abstrait),expansion T2 (abstrait)
stirn,v.stat,"vieillir, s'écouler (pour le temps)",verbe statif,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
stirnas,n,"la vieillesse, l'usure du temps",nom,stirn + -as (abstrait),expansion T2 (abstrait)
stirnus,v.stat,souhaiter que le temps avance,verbe statif,stirn + -us (désidératif),expansion T2 (désidératif)
prank,n,"saison, période saisonnière",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
prankar,n,celui qui vit selon les saisons,nom,prank + -ar (agentif),expansion T2 (agentif)
prankas,n,"l'essence saisonnière, les caractères d'une saison",nom,prank + -as (abstrait),expansion T2 (abstrait)
mul,n,"nuit, obscurité temporelle",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
mulut,n,"ce qui est produit la nuit, la nocturnité",nom,mul + -ut (résultatif),expansion T2 (résultatif)
mulas,n,la nature nocturne,nom,mul + -as (abstrait),expansion T2 (abstrait)
kirn,n,"an, année, grand cycle",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
kirnar,n,celui qui marque l'année,nom,kirn + -ar (agentif),expansion T2 (agentif)
kirnas,n,l'ordre annuel,nom,kirn + -as (abstrait),expansion T2 (abstrait)
sink,v.stat,"s'allonger, durer longuement",verbe statif,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
sinkus,v.stat,"désirer la longueur, souhaiter que cela dure",verbe statif,sink + -us (désidératif),expansion T2 (désidératif)
sinkas,n,la durée prolongée,nom,sink + -as (abstrait),expansion T2 (abstrait)
plist,n,"instant, moment fugace",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
plistut,n,"ce qui naît du moment, l'éphémère",nom,plist + -ut (résultatif),expansion T2 (résultatif)
plistas,n,l'instantanéité,nom,plist + -as (abstrait),expansion T2 (abstrait)
halt,v.stat,"passer, avancer (du temps)",verbe statif,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
haltus,v.stat,désirer que le temps passe,verbe statif,halt + -us (désidératif),expansion T2 (désidératif)
haltas,n,"l'écoulement, la progression",nom,halt + -as (abstrait),expansion T2 (abstrait)
murp,n,"automne, déclin de l'année",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
murpar,n,"celui qui dépérit, créature automnale",nom,murp + -ar (agentif),expansion T2 (agentif)
murpas,n,l'essence du déclin saisonnier,nom,murp + -as (abstrait),expansion T2 (abstrait)
hirk,n,"passé, ce qui s'est écoulé",nom,racine,"expansion T2 ; grappe : le temps qui passe (jour, an, saison)"
hirkil,n,"l'outil-pour-se-souvenir du passé, mémoire",nom,hirk + -il (instrumental),expansion T2 (instrumental)
hirkas,n,la qualité de ce qui est passé,nom,hirk + -as (abstrait),expansion T2 (abstrait)
hurn,v.stat,"être élevé, en haut, occuper une altitude supérieure",verbe statif,racine,"expansion T2 ; grappe : l'espace et la position (haut, bas, dedans, dehors)"
hurnas,n,"altitude, hauteur (domaine/qualité)",nom,hurn + -as (abstrait),expansion T2 (abstrait)
xul,v.stat,"être intérieur, dedans, contenu",verbe statif,racine,"expansion T2 ; grappe : l'espace et la position (haut, bas, dedans, dehors)"
xulas,n,"intériorité, l'intérieur (domaine)",nom,xul + -as (abstrait),expansion T2 (abstrait)
kʼaxul,v.stat,"être extérieur, dehors",verbe statif,xul + kʼa- (privatif),expansion T2 (privatif)
nirk,v.stat,"être dehors, extérieur, au-delà",verbe statif,racine,"expansion T2 ; grappe : l'espace et la position (haut, bas, dedans, dehors)"
nirkas,n,"extériorité, l'extérieur (domaine)",nom,nirk + -as (abstrait),expansion T2 (abstrait)
nirkar,n,"celui qui est dehors, étranger",nom,nirk + -ar (agentif),expansion T2 (agentif)
prats,v.stat,"être plat, horizontal, au même niveau",verbe statif,racine,"expansion T2 ; grappe : l'espace et la position (haut, bas, dedans, dehors)"
pratsas,n,"platitude, l'horizontalité (domaine)",nom,prats + -as (abstrait),expansion T2 (abstrait)
pratsil,n,"surface plate, plan",nom,prats + -il (instrumental),expansion T2 (instrumental)
lank,v.stat,"être liminal, à la frontière, à la limite",verbe statif,racine,"expansion T2 ; grappe : l'espace et la position (haut, bas, dedans, dehors)"
lankas,n,"limite, frontière (domaine)",nom,lank + -as (abstrait),expansion T2 (abstrait)
lankar,n,celui qui garde la limite,nom,lank + -ar (agentif),expansion T2 (agentif)
pils,v,"traverser, passer à travers, franchir",radical verbal,racine,"expansion T2 ; grappe : l'espace et la position (haut, bas, dedans, dehors)"
pilsar,n,"celui qui traverse, passant",nom,pils + -ar (agentif),expansion T2 (agentif)
pilsut,n,"passage, trajet",nom,pils + -ut (résultatif),expansion T2 (résultatif)
tulk,v.stat,"être aux extrémités, marginal, périphérique",verbe statif,racine,"expansion T2 ; grappe : l'espace et la position (haut, bas, dedans, dehors)"
tulkas,n,"marginalité, extrémité (domaine)",nom,tulk + -as (abstrait),expansion T2 (abstrait)
tulkar,n,"celui à la marge, marginal",nom,tulk + -ar (agentif),expansion T2 (agentif)
trik,v,"aller, se mouvoir en avant (mouvement directionnel)",radical verbal,racine,expansion T2 ; grappe : le mouvement et le déplacement
trikar,n,"celui qui va, voyageur",nom,trik + -ar (agentif),expansion T2 (agentif)
trikas,n,"le voyage, le trajet",nom,trik + -as (abstrait),expansion T2 (abstrait)
trikus,v.stat,"avoir envie d'aller, désirer se mouvoir",verbe statif,trik + -us (désidératif),expansion T2 (désidératif)
spin,v,"courir, se précipiter (mouvement rapide)",radical verbal,racine,expansion T2 ; grappe : le mouvement et le déplacement
spinar,n,"coureur, celui qui court",nom,spin + -ar (agentif),expansion T2 (agentif)
spinas,n,"la course, la vitesse",nom,spin + -as (abstrait),expansion T2 (abstrait)
spinus,v.stat,avoir envie de courir,verbe statif,spin + -us (désidératif),expansion T2 (désidératif)
palt,v,"sauter, bondir, faire un saut",radical verbal,racine,expansion T2 ; grappe : le mouvement et le déplacement
paltar,n,celui qui saute,nom,palt + -ar (agentif),expansion T2 (agentif)
paltut,n,le saut,nom,palt + -ut (résultatif),expansion T2 (résultatif)
paltil,n,ce qui fait sauter (tremplin),nom,palt + -il (instrumental),expansion T2 (instrumental)
hulk,v,"tomber, descendre précipitamment",radical verbal,racine,expansion T2 ; grappe : le mouvement et le déplacement
hulkut,n,la chute,nom,hulk + -ut (résultatif),expansion T2 (résultatif)
hulkas,n,la chute (domaine abstrait),nom,hulk + -as (abstrait),expansion T2 (abstrait)
mirk,v,"monter, aller vers le haut",radical verbal,racine,expansion T2 ; grappe : le mouvement et le déplacement
mirkar,n,celui qui monte,nom,mirk + -ar (agentif),expansion T2 (agentif)
mirkut,n,"la montée, l'ascension",nom,mirk + -ut (résultatif),expansion T2 (résultatif)
mirkus,v.stat,avoir envie de monter,verbe statif,mirk + -us (désidératif),expansion T2 (désidératif)
plis,v,"plier, courber son trajet ou son corps",radical verbal,racine,expansion T2 ; grappe : le mouvement et le déplacement
plisar,n,celui qui se plie,nom,plis + -ar (agentif),expansion T2 (agentif)
